source_id,sequence_name,original_stem,split,merged_stem,holdout_group,note
g31,D04_20260123074846,D04_20260123074846_frame_0000,train,g31__D04_20260123074846_frame_0000,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0001,val,g31__D04_20260123074846_frame_0001,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0002,train,g31__D04_20260123074846_frame_0002,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0003,test,g31__D04_20260123074846_frame_0003,unified_holdout_v1,unified_holdout_v1
g31,D04_20260123074846,D04_20260123074846_frame_0004,train,g31__D04_20260123074846_frame_0004,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0005,train,g31__D04_20260123074846_frame_0005,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0006,train,g31__D04_20260123074846_frame_0006,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0007,train,g31__D04_20260123074846_frame_0007,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0008,train,g31__D04_20260123074846_frame_0008,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0009,train,g31__D04_20260123074846_frame_0009,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0010,test,g31__D04_20260123074846_frame_0010,unified_holdout_v1,unified_holdout_v1
g31,D04_20260123074846,D04_20260123074846_frame_0011,train,g31__D04_20260123074846_frame_0011,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0012,val,g31__D04_20260123074846_frame_0012,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0013,train,g31__D04_20260123074846_frame_0013,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0014,train,g31__D04_20260123074846_frame_0014,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0015,val,g31__D04_20260123074846_frame_0015,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0016,train,g31__D04_20260123074846_frame_0016,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0017,test,g31__D04_20260123074846_frame_0017,unified_holdout_v1,unified_holdout_v1
g31,D04_20260123074846,D04_20260123074846_frame_0018,train,g31__D04_20260123074846_frame_0018,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0019,train,g31__D04_20260123074846_frame_0019,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0020,test,g31__D04_20260123074846_frame_0020,unified_holdout_v1,unified_holdout_v1
g31,D04_20260123074846,D04_20260123074846_frame_0021,train,g31__D04_20260123074846_frame_0021,legacy_trainval_balanced_v1,source_balanced_trainval_v1
g31,D04_20260123074846,D04_20260123074846_frame_0022,train,g31__D04_20260123074846_frame_0022,legacy_trainval_balanced_v1,source_balanced_trainval_v1
